,neighbourhood_cleansed,neighbourhood_group_cleansed,zipcode,latitude,longitude,is_location_exact,property_type,price,weekly_price,monthly_price,neighbourhood_cleansed_index,neighbourhood_group_cleansed_index,property_type_index
93,Embajadores,Centro,28012.0,40.408813369332506,-3.700917649081604,1,Apartment,55.0,355.0,900.0,12,1,0
94,El Viso,Chamartín,28036.0,40.447338819256636,-3.6895198850805344,1,Apartment,80.0,560.0,1500.0,51,5,0
95,San Isidro,Carabanchel,28019.0,40.393888614796424,-3.723313892225881,1,Apartment,40.0,280.0,1200.0,113,11,0
96,Universidad,Centro,28015.0,40.424220237969564,-3.709397074101071,1,Apartment,62.0,405.0,1400.0,15,1,0
97,Cuatro Caminos,Tetuán,28020.0,40.450210334744675,-3.699101695189665,1,Apartment,46.0,350.0,950.0,62,6,0
98,Sol,Centro,28005.0,40.415232176378545,-3.7064996815460245,1,Apartment,75.0,525.0,2250.0,16,1,0
99,Aluche,Latina,28047.0,40.3857385302447,-3.7506157402037363,1,Apartment,95.0,450.0,900.0,104,10,0
100,Universidad,Centro,28015.0,40.425860139086524,-3.710490620409944,1,Apartment,50.0,280.0,1050.0,15,1,0
101,Embajadores,Centro,28012.0,40.40814073580229,-3.7017113706365383,1,Apartment,77.0,265.0,805.0,12,1,0
102,Valdefuentes,Hortaleza,28033.0,40.470876527686904,-3.628656719064907,1,Loft,125.0,1050.0,3900.0,166,16,2
103,Universidad,Centro,28004.0,40.423248666395374,-3.7018330900593375,1,Apartment,68.0,476.0,2040.0,15,1,0
104,Valdefuentes,Hortaleza,28033.0,40.4719768106016,-3.6295237834843337,0,Loft,65.0,315.0,1200.0,166,16,2
105,Universidad,Centro,28004.0,40.42619805704096,-3.703190900637512,1,Townhouse,407.280000000017,300.0,850.0,15,1,9
106,Embajadores,Centro,28012.0,40.412357623772785,-3.7028381180832137,1,Apartment,75.0,450.0,1350.0,12,1,0
107,Embajadores,Centro,28005.0,40.408982046718705,-3.709204734677926,1,Apartment,70.0,490.0,2100.0,12,1,0
108,Universidad,Centro,28015.0,40.42418701076793,-3.7083477028015657,1,Serviced apartment,113.0,560.0,1900.0,15,1,5
109,Palacio,Centro,28013.0,40.416353018839885,-3.709860970361897,1,Apartment,60.0,550.0,1500.0,11,1,0
110,Palacio,Centro,28013.0,40.420415411085024,-3.7099148636568806,1,Bed and breakfast,30.0,280.0,850.0,11,1,8
111,Cortes,Centro,28012.0,40.413650225306604,-3.70071767299977,1,Apartment,59.0,413.0,1770.0,13,1,0
112,Cortes,Centro,28012.0,40.41454070366958,-3.7012119216222072,1,Apartment,59.0,413.0,1770.0,13,1,0
113,Recoletos,Salamanca,28001.0,40.42687608604621,-3.685199753977812,0,Apartment,175.0,1225.0,5250.0,41,4,0
114,Sol,Centro,28013.0,40.41790029403899,-3.708193262992279,1,Apartment,110.0,585.0,2100.0,16,1,0
115,Justicia,Centro,28004.0,40.425400978318756,-3.6966165542188327,1,Apartment,113.0,714.0,2575.0,14,1,0
116,Universidad,Centro,28015.0,40.425552570414965,-3.7108668529262716,1,Apartment,30.0,200.0,600.0,15,1,0
117,Cortes,Centro,28014.0,40.41759938381968,-3.6980776020819865,1,Apartment,48.0,180.0,540.0,13,1,0
118,Puerta del Angel,Latina,28011.0,40.41136055592784,-3.7245639071651575,1,Apartment,20.0,140.0,465.0,102,10,0
119,Justicia,Centro,28004.0,40.422834221689506,-3.7006423570400906,1,Apartment,60.0,420.0,1800.0,14,1,0
120,Justicia,Centro,28004.0,40.422027303526846,-3.6989805140403615,1,Apartment,37.0,405.0,1550.0,14,1,0
121,Embajadores,Centro,28012.0,40.40774436386381,-3.6992830262673526,1,Apartment,30.0,210.0,900.0,12,1,0
122,Sol,Centro,28012.0,40.41488606478858,-3.7073831376207482,1,Apartment,80.0,600.0,1600.0,16,1,0
123,Cortes,Centro,28014.0,40.41471956317948,-3.695332686856698,1,Apartment,135.0,695.0,2800.0,13,1,0
124,Embajadores,Centro,28012.0,40.4077940083854,-3.6961388408188394,0,Apartment,65.0,390.0,1082.0,12,1,0
125,Universidad,Centro,28013.0,40.42247816486756,-3.7089138121103233,1,Apartment,68.0,360.0,1450.0,15,1,0
126,Universidad,Centro,28015.0,40.423933253091775,-3.7098399588286055,1,Apartment,62.0,405.0,1400.0,15,1,0
127,Arapiles,Chamberí,28015.0,40.433354488799374,-3.705369300060229,1,Apartment,65.0,400.0,1200.0,72,7,0
128,Universidad,Centro,28004.0,40.42578658929176,-3.7052620167105657,1,House,155.0,1085.0,4650.0,15,1,4
129,Concepción,Ciudad Lineal,28027.0,40.43601772576572,-3.651141724619913,1,Apartment,38.0,200.0,800.0,154,15,0
130,Aluche,Latina,28024.0,40.39382269106591,-3.758711949056584,1,Apartment,85.0,536.0,1541.0,104,10,0
131,Embajadores,Centro,28005.0,40.408071149198214,-3.7075558354833866,1,Apartment,70.0,420.0,1300.0,12,1,0
132,Embajadores,Centro,28012.0,40.411204380882,-3.707414718871752,1,Loft,95.0,615.0,2050.0,12,1,2
133,Cortes,Centro,28012.0,40.4143299097119,-3.701233576772441,1,Apartment,59.0,413.0,1770.0,13,1,0
134,Embajadores,Centro,28012.0,40.41059035861315,-3.7033965605712433,1,Apartment,75.0,480.0,1900.0,12,1,0
135,Delicias,Arganzuela,28045.0,40.39547841768851,-3.6939222012441166,1,Apartment,115.0,805.0,3450.0,25,2,0
136,Cortes,Centro,28014.0,40.41393038284115,-3.6978982183925027,1,Apartment,20.0,140.0,600.0,13,1,0
