,BARRIO,CODIGOPOSTAL,DENOMINACION,DISTRITO,LATITUD,LONGITUD,TIPOTRANSPORTE,BARRIO_NOMBRE,DISTRITO_NOMBRE
207,205.0,28022.0,LAS ROSAS,20.0,40.42374843104424,-3.603305595567437,Metro,Rosas,San Blas - Canillejas
208,116.0,28054.0,LA PESETA,11.0,40.36422401181158,-3.756902710588123,Metro,Buenavista,Carabanchel
209,103.0,28011.0,LUCERO,10.0,40.405099650652225,-3.7453369594515085,Metro,Lucero,Latina
210,83.0,28035.0,LACOMA,8.0,40.485015026073626,-3.7230455415502233,Metro,Peñagrande,Fuencarral - El Pardo
211,83.0,28035.0,AVDA. DE LA ILUSTRACION,8.0,40.48010261154569,-3.718398252218656,Metro,Peñagrande,Fuencarral - El Pardo
212,94.0,28039.0,VALDEZARZA,9.0,40.46482353283604,-3.715972126851418,Metro,Valdezarza,Moncloa - Aravaca
213,54.0,28016.0,COLOMBIA,5.0,40.456339068325185,-3.6768242867748153,Metro,Hispanoamérica,Chamartín
214,45.0,28006.0,DIEGO DE LEON,4.0,40.43235319427283,-3.674261712530584,Metro,Lista,Salamanca
215,92.0,28008.0,MONCLOA,9.0,40.43502351519558,-3.7194506192406966,Metro,Argüelles,Moncloa - Aravaca
216,165.0,28033.0,MANOTERAS,16.0,40.4768742266936,-3.6628954758911214,Metro,Apostol Santiago,Hortaleza
217,181.0,28031.0,CONGOSTO,18.0,40.37238237036665,-3.6188413501245416,Metro,Casco Histórico de Vallecas,Villa de Vallecas
218,214.0,28042.0,BARAJAS,21.0,40.475774163830884,-3.582527909796368,Metro,Timón,Barajas
219,32.0,28007.0,PACIFICO,3.0,40.402071738555954,-3.673856038411888,Metro,Adelfas,Retiro
226,51.0,28002.0,REPUBLICA ARGENTINA,5.0,40.443794564490005,-3.6840618670570495,Metro,El Viso,Chamartín
227,62.0,28046.0,NUEVOS MINISTERIOS,6.0,40.446552669988414,-3.6924055923449774,Metro,Cuatro Caminos,Tetuán
228,56.0,28036.0,CHAMARTIN,5.0,40.47202685297345,-3.682590109403099,Metro,Castilla,Chamartín
229,191.0,28032.0,VICALVARO,19.0,40.40421591640344,-3.608858826006202,Metro,Casco histórico de Vicálvaro,Vicálvaro
231,155.0,28027.0,BARRIO DE LA CONCEPCION,15.0,40.439099399993054,-3.6520040012947503,Metro,San Pascual,Ciudad Lineal
232,12.0,28012.0,ANTON MARTIN,1.0,40.412463565690004,-3.6993729633448895,Metro,Embajadores,Centro
233,74.0,28003.0,ALONSO CANO,7.0,40.438375376110436,-3.6992456432372576,Metro,Almagro,Chamberí
234,93.0,28039.0,FRANCOS RODRIGUEZ,9.0,40.45648182077827,-3.712386672198295,Metro,Ciudad Universitaria,Moncloa - Aravaca
235,94.0,28039.0,ANTONIO MACHADO,9.0,40.47021772039073,-3.717694855241223,Metro,Valdezarza,Moncloa - Aravaca
237,85.0,28029.0,BARRIO DEL PILAR,8.0,40.47688906880558,-3.7031645038417564,Metro,La Paz,Fuencarral - El Pardo
238,106.0,28054.0,CUATRO VIENTOS,10.0,40.377706888769715,-3.791515199873567,Metro,Cuatro Vientos,Latina
239,53.0,28002.0,CONCHA ESPINA,5.0,40.451448432622364,-3.6773801228759067,Metro,Ciudad Jardín,Chamartín
240,64.0,28029.0,VENTILLA,6.0,40.46943537698728,-3.695883329765176,Metro,Almenara,Tetuán
241,55.0,28036.0,DUQUE DE PASTRANA,5.0,40.46762585150879,-3.6791705524779017,Metro,Nueva España,Chamartín
242,164.0,28043.0,MAR DE CRISTAL,16.0,40.469383787188725,-3.638320223220469,Metro,Pinar del Rey,Hortaleza
243,15.0,28008.0,ARGÜELLES,1.0,40.430598358763966,-3.7159568697272873,Metro,Universidad,Centro
245,15.0,28008.0,ARGÜELLES,1.0,40.4305318396402,-3.715956165444176,Metro,Universidad,Centro
246,16.0,28013.0,CALLAO,1.0,40.42013649508509,-3.705661236843412,Metro,Sol,Centro
247,44.0,28028.0,PARQUE DE LAS AVENIDAS,4.0,40.43944760234025,-3.6629705808692217,Metro,Guindalera,Salamanca
248,14.0,28004.0,CHUECA,1.0,40.42293317807981,-3.6976165924437834,Metro,Justicia,Centro
249,15.0,28004.0,TRIBUNAL,1.0,40.425995196780406,-3.7020777488360026,Metro,Universidad,Centro
254,53.0,28002.0,CRUZ DEL RAYO,5.0,40.444265881103284,-3.678214109671047,Metro,Ciudad Jardín,Chamartín
255,31.0,28007.0,MENENDEZ PELAYO,3.0,40.404450522263595,-3.6809794170757697,Metro,Pacífico,Retiro
256,175.0,28041.0,CIUDAD DE LOS ANGELES,17.0,40.359585428137,-3.693626444170664,Metro,Los Angeles,Villaverde
257,171.0,28021.0,SAN CRISTOBAL,17.0,40.34154193600964,-3.693180299186317,Metro,"Villaverde Alto, Casco Histórico de Villaverde",Villaverde
258,73.0,28015.0,SAN BERNARDO,7.0,40.42966246161004,-3.7056737885887747,Metro,Trafalgar,Chamberí
259,73.0,28004.0,BILBAO,7.0,40.428850304441966,-3.701138175565138,Metro,Trafalgar,Chamberí
260,74.0,28010.0,ALONSO MARTINEZ,7.0,40.42828258137045,-3.6950229019466976,Metro,Almagro,Chamberí
261,12.0,28012.0,EMBAJADORES,1.0,40.40512727116253,-3.70268049977228,Metro,Embajadores,Centro
262,92.0,28008.0,MONCLOA,9.0,40.43496631087177,-3.719450010688234,Metro,Argüelles,Moncloa - Aravaca
263,104.0,28047.0,ALUCHE,10.0,40.38562861956385,-3.7608038107044397,Metro,Aluche,Latina
264,22.0,28005.0,ACACIAS,2.0,40.40387164372991,-3.7066410860751855,Metro,Acacias,Arganzuela
265,24.0,28045.0,LEGAZPI,2.0,40.39115775794032,-3.6950513653466897,Metro,Legazpi,Arganzuela
266,23.0,28045.0,LEGAZPI,2.0,40.39115499951024,-3.6951136875960184,Metro,Chopera,Arganzuela
267,27.0,28045.0,MENDEZ ALVARO,2.0,40.39537559939098,-3.6781415070830414,Metro,Atocha,Arganzuela
268,112.0,28019.0,OPORTO,11.0,40.388464763093225,-3.7313233124150336,Metro,Opañel,Carabanchel
269,112.0,28019.0,OPORTO,11.0,40.38846751948368,-3.7312641128780384,Metro,Opañel,Carabanchel
270,41.0,28001.0,SERRANO,4.0,40.425432159419024,-3.6866304363833353,Metro,Recoletos,Salamanca
271,45.0,28006.0,DIEGO DE LEON,4.0,40.43467946439266,-3.6749527300771714,Metro,Lista,Salamanca
272,88.0,28049.0,MONTECARMELO,8.0,40.505252159110974,-3.6957506950563808,Metro,El Goloso,Fuencarral - El Pardo
273,52.0,28002.0,ALFONSO XIII,5.0,40.448248388161026,-3.6679061529956094,Metro,Prosperidad,Chamartín
