Barrio;Anyo;Trimestre;Precio
Usera;2010;T3;9.24
Usera;2010;T4;9.01
Usera;2011;T1;8.84
Usera;2011;T2;8.96
Usera;2011;T3;8.66
Usera;2011;T4;8.74
Usera;2012;T1;8.44
Usera;2012;T2;8.06
Usera;2012;T3;8.19
Usera;2012;T4;7.96
Usera;2013;T1;8
Usera;2013;T2;7.9
Usera;2013;T3;7.9
Usera;2013;T4;7.8
Usera;2014;T1;9.2
Usera;2014;T2;8.4
Usera;2014;T3;8.4
Usera;2014;T4;8.4
Usera;2015;T1;8.7
Usera;2015;T2;8.8
Usera;2015;T3;9.6
Usera;2015;T4;9.9
Usera;2016;T1;9.7
Usera;2016;T2;9.4
Usera;2016;T3;9.8
Usera;2016;T4;9.8
Usera;2017;T1;9.8
Usera;2017;T2;10.1
Usera;2017;T3;10.8
Usera;2017;T4;11.3
Usera;2018;T1;11.3
Usera;2018;T2;-
Usera;2018;T3;-
Usera;2018;T4;-
Puente de Vallecas;2010;T1;9.78
Puente de Vallecas;2010;T2;9.69
Puente de Vallecas;2010;T3;9.67
Puente de Vallecas;2010;T4;9.73
Puente de Vallecas;2011;T1;9.5
Puente de Vallecas;2011;T2;9.32
Puente de Vallecas;2011;T3;9.43
Puente de Vallecas;2011;T4;9.24
Puente de Vallecas;2012;T1;8.99
Puente de Vallecas;2012;T2;8.82
Puente de Vallecas;2012;T3;8.75
Puente de Vallecas;2012;T4;8.6
Puente de Vallecas;2013;T1;8.4
Puente de Vallecas;2013;T2;8.4
Puente de Vallecas;2013;T3;8
Puente de Vallecas;2013;T4;7.8
Puente de Vallecas;2014;T1;8.6
Puente de Vallecas;2014;T2;8.4
Puente de Vallecas;2014;T3;8.3
Puente de Vallecas;2014;T4;8.1
Puente de Vallecas;2015;T1;8.3
Puente de Vallecas;2015;T2;8.5
Puente de Vallecas;2015;T3;8.7
Puente de Vallecas;2015;T4;9
Puente de Vallecas;2016;T1;9
Puente de Vallecas;2016;T2;9.1
Puente de Vallecas;2016;T3;9.5
Puente de Vallecas;2016;T4;10.2
Puente de Vallecas;2017;T1;10.2
Puente de Vallecas;2017;T2;10
Puente de Vallecas;2017;T3;10.6
Puente de Vallecas;2017;T4;11.3
Puente de Vallecas;2018;T1;11.6
Puente de Vallecas;2018;T2;-
Puente de Vallecas;2018;T3;-
Puente de Vallecas;2018;T4;-
Moratalaz;2010;T1;9.5
Moratalaz;2010;T2;9.32
Moratalaz;2010;T3;9.34
Moratalaz;2010;T4;9.27
Moratalaz;2011;T1;9
Moratalaz;2011;T2;8.89
Moratalaz;2011;T3;8.95
Moratalaz;2011;T4;8.74
Moratalaz;2012;T1;8.68
Moratalaz;2012;T2;8.68
Moratalaz;2012;T3;8.42
Moratalaz;2012;T4;8.34
Moratalaz;2013;T1;8.4
Moratalaz;2013;T2;8.2
Moratalaz;2013;T3;8
Moratalaz;2013;T4;7.7
Moratalaz;2014;T1;8.5
Moratalaz;2014;T2;8.4
Moratalaz;2014;T3;8.4
Moratalaz;2014;T4;8.5
Moratalaz;2015;T1;8.8
Moratalaz;2015;T2;8.6
Moratalaz;2015;T3;8.6
Moratalaz;2015;T4;8.4
Moratalaz;2016;T1;8.9
Moratalaz;2016;T2;9.3
Moratalaz;2016;T3;9.8
Moratalaz;2016;T4;9.7
Moratalaz;2017;T1;10.2
Moratalaz;2017;T2;10.2
Moratalaz;2017;T3;10.8
Moratalaz;2017;T4;10.9
Moratalaz;2018;T1;11
Moratalaz;2018;T2;-
Moratalaz;2018;T3;-
Moratalaz;2018;T4;-
Ciudad Lineal;2010;T1;11.2
Ciudad Lineal;2010;T2;10.94
Ciudad Lineal;2010;T3;10.7
Ciudad Lineal;2010;T4;10.82
Ciudad Lineal;2011;T1;11.11
Ciudad Lineal;2011;T2;10.99
Ciudad Lineal;2011;T3;10.89
Ciudad Lineal;2011;T4;10.83
Ciudad Lineal;2012;T1;10.75
Ciudad Lineal;2012;T2;10.51
Ciudad Lineal;2012;T3;10.45
Ciudad Lineal;2012;T4;10.11
Ciudad Lineal;2013;T1;9.9
Ciudad Lineal;2013;T2;9.7
Ciudad Lineal;2013;T3;9.7
Ciudad Lineal;2013;T4;9.8
Ciudad Lineal;2014;T1;10.3
Ciudad Lineal;2014;T2;10.2
Ciudad Lineal;2014;T3;10
Ciudad Lineal;2014;T4;10.2
Ciudad Lineal;2015;T1;10.4
Ciudad Lineal;2015;T2;10.4
Ciudad Lineal;2015;T3;10.7
Ciudad Lineal;2015;T4;11.3
Ciudad Lineal;2016;T1;11.3
Ciudad Lineal;2016;T2;11.1
Ciudad Lineal;2016;T3;11.6
Ciudad Lineal;2016;T4;12.2
Ciudad Lineal;2017;T1;12.1
Ciudad Lineal;2017;T2;12.3
Ciudad Lineal;2017;T3;12.7
Ciudad Lineal;2017;T4;12.9
Ciudad Lineal;2018;T1;13
Ciudad Lineal;2018;T2;-
Ciudad Lineal;2018;T3;-
Ciudad Lineal;2018;T4;-
Hortaleza;2010;T1;11.31
Hortaleza;2010;T2;11.24
Hortaleza;2010;T3;11.16
Hortaleza;2010;T4;11.17
Hortaleza;2011;T1;11.34
Hortaleza;2011;T2;11.47
Hortaleza;2011;T3;11.42
Hortaleza;2011;T4;11.34
Hortaleza;2012;T1;10.87
Hortaleza;2012;T2;11.02
Hortaleza;2012;T3;10.88
Hortaleza;2012;T4;10.71
Hortaleza;2013;T1;10.8
Hortaleza;2013;T2;10.3
Hortaleza;2013;T3;10
Hortaleza;2013;T4;10.3
Hortaleza;2014;T1;11
Hortaleza;2014;T2;10.6
Hortaleza;2014;T3;10.5
Hortaleza;2014;T4;10.3
Hortaleza;2015;T1;10.7
Hortaleza;2015;T2;10.6
Hortaleza;2015;T3;11
Hortaleza;2015;T4;11
Hortaleza;2016;T1;10.9
Hortaleza;2016;T2;11.1
Hortaleza;2016;T3;11.7
Hortaleza;2016;T4;11.6
Hortaleza;2017;T1;11.9
Hortaleza;2017;T2;11.9
Hortaleza;2017;T3;12.8
Hortaleza;2017;T4;13.1
Hortaleza;2018;T1;13.3
Hortaleza;2018;T2;-
Hortaleza;2018;T3;-
Hortaleza;2018;T4;-
Villaverde;2010;T1;8.89
Villaverde;2010;T2;8.72
Villaverde;2010;T3;9.03
Villaverde;2010;T4;8.79
Villaverde;2011;T1;8.47
Villaverde;2011;T2;8.44
Villaverde;2011;T3;8.54
Villaverde;2011;T4;8.41
Villaverde;2012;T1;8.56
Villaverde;2012;T2;8.27
Villaverde;2012;T3;8.39
Villaverde;2012;T4;8.09
Villaverde;2013;T1;7.7
Villaverde;2013;T2;7.6
Villaverde;2013;T3;7.4
Villaverde;2013;T4;7.4
Villaverde;2014;T1;8.1
Villaverde;2014;T2;7.8
Villaverde;2014;T3;7.6
Villaverde;2014;T4;7.8
Villaverde;2015;T1;8
Villaverde;2015;T2;7.8
Villaverde;2015;T3;8.3
Villaverde;2015;T4;8.9
Villaverde;2016;T1;8.2
Villaverde;2016;T2;8.2
Villaverde;2016;T3;8.4
Villaverde;2016;T4;8.9
Villaverde;2017;T1;9.5
Villaverde;2017;T2;9.5
Villaverde;2017;T3;10
Villaverde;2017;T4;10.3
Villaverde;2018;T1;10.2
Villaverde;2018;T2;-
Villaverde;2018;T3;-
Villaverde;2018;T4;-
Villa de Vallecas;2010;T1;9.36
Villa de Vallecas;2010;T2;9.11
Villa de Vallecas;2010;T3;9.1
Villa de Vallecas;2010;T4;9.32
Villa de Vallecas;2011;T1;9.02
Villa de Vallecas;2011;T2;9.13
Villa de Vallecas;2011;T3;8.95
Villa de Vallecas;2011;T4;8.95
Villa de Vallecas;2012;T1;8.71
Villa de Vallecas;2012;T2;8.82
Villa de Vallecas;2012;T3;8.65
Villa de Vallecas;2012;T4;8.57
Villa de Vallecas;2013;T1;8.5
Villa de Vallecas;2013;T2;8.3
Villa de Vallecas;2013;T3;8.1
Villa de Vallecas;2013;T4;8.2
Villa de Vallecas;2014;T1;8.8
Villa de Vallecas;2014;T2;8.6
Villa de Vallecas;2014;T3;8.5
Villa de Vallecas;2014;T4;8.7
Villa de Vallecas;2015;T1;8.6
Villa de Vallecas;2015;T2;8.8
Villa de Vallecas;2015;T3;8.8
Villa de Vallecas;2015;T4;9
Villa de Vallecas;2016;T1;9.2
Villa de Vallecas;2016;T2;9.1
Villa de Vallecas;2016;T3;9.1
Villa de Vallecas;2016;T4;9.7
Villa de Vallecas;2017;T1;9.6
Villa de Vallecas;2017;T2;9.4
Villa de Vallecas;2017;T3;9.7
Villa de Vallecas;2017;T4;9.9
Villa de Vallecas;2018;T1;10.4
Villa de Vallecas;2018;T2;-
Villa de Vallecas;2018;T3;-
Villa de Vallecas;2018;T4;-
Vicálvaro;2010;T1;9.31
Vicálvaro;2010;T2;9.1
Vicálvaro;2010;T3;8.79
Vicálvaro;2010;T4;9.04
Vicálvaro;2011;T1;8.92
